min_points,epsilon,clustering_num,noise_num
10.0,0.7,32.0,33.0
10.0,0.8,30.0,30.0
10.0,0.9,23.0,20.0
10.0,1.0,21.0,16.0
10.0,1.1,19.0,14.0
10.0,1.2,16.0,7.0
10.0,1.3,15.0,6.0
10.0,1.4,14.0,5.0
10.0,1.5,13.0,5.0
10.0,1.6,11.0,5.0
10.0,1.7,8.0,5.0
10.0,1.8,8.0,5.0
10.0,1.9,8.0,5.0
10.0,2.0,7.0,5.0
20.0,0.7,25.0,107.0
20.0,0.8,24.0,101.0
20.0,0.9,20.0,63.0
20.0,1.0,17.0,35.0
20.0,1.1,16.0,33.0
20.0,1.2,13.0,25.0
20.0,1.3,12.0,23.0
20.0,1.4,11.0,17.0
20.0,1.5,11.0,17.0
20.0,1.6,9.0,17.0
20.0,1.7,6.0,17.0
20.0,1.8,6.0,17.0
20.0,1.9,6.0,17.0
20.0,2.0,6.0,17.0
30.0,0.7,23.0,222.0
30.0,0.8,22.0,218.0
30.0,0.9,18.0,173.0
30.0,1.0,16.0,92.0
30.0,1.1,15.0,91.0
30.0,1.2,12.0,70.0
30.0,1.3,11.0,69.0
30.0,1.4,10.0,52.0
30.0,1.5,10.0,52.0
30.0,1.6,8.0,50.0
30.0,1.7,6.0,17.0
30.0,1.8,6.0,17.0
30.0,1.9,6.0,17.0
30.0,2.0,6.0,17.0
40.0,0.7,20.0,334.0
40.0,0.8,19.0,329.0
40.0,0.9,16.0,299.0
40.0,1.0,13.0,228.0
40.0,1.1,12.0,205.0
40.0,1.2,10.0,160.0
40.0,1.3,9.0,149.0
40.0,1.4,8.0,116.0
40.0,1.5,8.0,116.0
40.0,1.6,8.0,116.0
40.0,1.7,6.0,17.0
40.0,1.8,6.0,17.0
40.0,1.9,6.0,17.0
40.0,2.0,6.0,17.0
50.0,0.7,17.0,533.0
50.0,0.8,16.0,526.0
50.0,0.9,13.0,421.0
50.0,1.0,11.0,399.0
50.0,1.1,9.0,326.0
50.0,1.2,7.0,270.0
50.0,1.3,6.0,249.0
50.0,1.4,5.0,65.0
50.0,1.5,5.0,65.0
50.0,1.6,5.0,65.0
50.0,1.7,5.0,65.0
50.0,1.8,5.0,65.0
50.0,1.9,5.0,65.0
50.0,2.0,5.0,65.0
60.0,0.7,16.0,572.0
60.0,0.8,15.0,560.0
60.0,0.9,13.0,449.0
60.0,1.0,11.0,400.0
60.0,1.1,10.0,355.0
60.0,1.2,7.0,305.0
60.0,1.3,6.0,277.0
60.0,1.4,5.0,99.0
60.0,1.5,5.0,99.0
60.0,1.6,5.0,99.0
60.0,1.7,5.0,99.0
60.0,1.8,5.0,99.0
60.0,1.9,5.0,99.0
60.0,2.0,5.0,99.0
70.0,0.7,16.0,808.0
70.0,0.8,15.0,718.0
70.0,0.9,13.0,599.0
70.0,1.0,11.0,539.0
70.0,1.1,11.0,539.0
70.0,1.2,7.0,344.0
70.0,1.3,6.0,308.0
70.0,1.4,5.0,123.0
70.0,1.5,5.0,123.0
70.0,1.6,5.0,123.0
70.0,1.7,5.0,123.0
70.0,1.8,5.0,123.0
70.0,1.9,5.0,123.0
70.0,2.0,5.0,123.0
80.0,0.7,14.0,745.0
80.0,0.8,14.0,745.0
80.0,0.9,12.0,589.0
80.0,1.0,10.0,507.0
80.0,1.1,10.0,507.0
80.0,1.2,7.0,425.0
80.0,1.3,6.0,362.0
80.0,1.4,5.0,142.0
80.0,1.5,5.0,142.0
80.0,1.6,5.0,142.0
80.0,1.7,5.0,142.0
80.0,1.8,5.0,142.0
80.0,1.9,5.0,142.0
80.0,2.0,5.0,142.0
90.0,0.7,13.0,973.0
90.0,0.8,13.0,973.0
90.0,0.9,11.0,789.0
90.0,1.0,9.0,573.0
90.0,1.1,9.0,573.0
90.0,1.2,7.0,499.0
90.0,1.3,6.0,416.0
90.0,1.4,5.0,148.0
90.0,1.5,5.0,148.0
90.0,1.6,5.0,148.0
90.0,1.7,5.0,148.0
90.0,1.8,5.0,148.0
90.0,1.9,5.0,148.0
90.0,2.0,5.0,148.0
100.0,0.7,13.0,1226.0
100.0,0.8,13.0,1226.0
100.0,0.9,11.0,959.0
100.0,1.0,10.0,850.0
100.0,1.1,9.0,662.0
100.0,1.2,9.0,662.0
100.0,1.3,6.0,496.0
100.0,1.4,5.0,149.0
100.0,1.5,5.0,149.0
100.0,1.6,5.0,149.0
100.0,1.7,5.0,149.0
100.0,1.8,5.0,149.0
100.0,1.9,5.0,149.0
100.0,2.0,5.0,149.0
